nom_commune,cog_commune,siren_commune,nom_prenom_maire,nuance_politique,famille_nuance
L'Abergement-Clémenciat,01001,210100012,BOULON Daniel,NC,Non classé
L'Abergement-De-Varey,01002,210100020,ORSET Max,NC,Non classé
Ambérieu-En-Bugey,01004,210100046,FABRE Daniel,LDVC,Centre
Ambérieux-En-Dombes,01005,210100053,FORNES Christine,,
Ambléon,01006,210100061,BIONDA Annie,NC,Non classé
Ambronay,01007,210100079,MANCUSO Vincent,LNC,Non classé
Ambutrix,01008,210100087,DELOFFRE Dominique,NC,Non classé
Andert-Et-Condon,01009,210100095,GUILLERMIN Patrick,NC,Non classé
Anglefort,01010,210100103,THIBOUD Bernard,LNC,Non classé
Apremont,01011,210100111,DOCHE Claude,NC,Non classé
Aranc,01012,210100129,MATHIEU Daniel,NC,Non classé
Arandas,01013,210100137,MANOS Lionel,NC,Non classé
Arbent,01014,210100145,CRACCHIOLO Philippe,LNC,Non classé
Arboys En Bugey,01015,200053668,RIERA Michel-Charles,NC,Non classé
Arbigny,01016,210100160,GRAS Daniel,NC,Non classé
Argis,01017,210100178,BOU Laurent,,
Armix,01019,210100194,VUILLOUD Véronique,NC,Non classé
Ars-Sur-Formans,01021,210100210,PACCAUD Richard,LNC,Non classé
Artemare,01022,210100228,DESCHAMPS Roland,LNC,Non classé
Asnières-Sur-Saône,01023,210100236,WILLEMS Jean-Marc,NC,Non classé
Attignat,01024,210100244,MARTIN Walter,LNC,Non classé
Bâgé-Dommartin,01025,200077220,BERNIGAUD Christian,LDIV,Courants politiques divers
Bâgé-Le-Châtel,01026,210100269,MALATERRE Jean Louis,NC,Non classé
Balan,01027,210100277,MEANT Patrick,LNC,Non classé
Baneins,01028,210100285,GRANGE Jean-Pierre,NC,Non classé
Beaupont,01029,210100293,JANODET Gérard,NC,Non classé
Beauregard,01030,210100301,GUYON Nadia,NC,Non classé
Bellignat,01031,210100319,RAVET Véronique,LDVG,Gauche
Béligneux,01032,210100327,FERRAND Philippe,,
Valserhône,01033,200083863,PETIT Régis,LDVD,Droite
Belley,01034,210100343,LAHUERTA Dimitri,LDVD,Droite
Belleydoux,01035,210100350,COURTOIS Pascal,NC,Non classé
Valromey-Sur-Seran,01036,200086411,GODET Pauline,LNC,Non classé
Bénonces,01037,210100376,RIGHETTI-GILOTTE Sylvie,NC,Non classé
